#{"t_start": 1690841246.5492268, "env_id": "None"}
r,l,t,precision,recall,f1,sustain_precision,sustain_recall,sustain_f1
32.33852,150,15.979078,0.6516666666666666,0.013333333333333334,0.3471111111111111,0.5466666666666666,1.0,0.5466666666666666
45.894447,150,17.472444,0.6977777777777777,0.013333333333333334,0.3,0.56,1.0,0.56
30.134491,150,19.092355,0.6055555555555555,0.02666666666666667,0.39666666666666667,0.49333333333333335,1.0,0.49333333333333335
23.627325,150,20.589244,0.67,0.02,0.34444444444444444,0.5133333333333333,1.0,0.5133333333333333
19.761831,150,22.152702,0.6168888888888889,0.02666666666666667,0.3811111111111111,0.47333333333333333,1.0,0.47333333333333333
36.849201,150,23.666237,0.7,0.0,0.3,0.5066666666666667,1.0,0.5066666666666667
16.505242,150,25.272229,0.6755555555555556,0.006666666666666667,0.3233333333333333,0.52,1.0,0.52
29.390329,150,26.887883,0.5183333333333333,0.013333333333333334,0.4804444444444444,0.5066666666666667,1.0,0.5066666666666667
50.374889,150,28.432012,0.6561111111111111,0.04,0.35377777777777775,0.6066666666666667,1.0,0.6066666666666667
26.677358,150,29.92544,0.6533333333333333,0.006666666666666667,0.35333333333333333,0.48,1.0,0.48
71.12883,150,31.392568,0.6483333333333333,0.013333333333333334,0.356,0.6466666666666666,1.0,0.6466666666666666
80.269731,150,32.883428,0.62,0.006666666666666667,0.38666666666666666,0.7,1.0,0.7
57.756661,150,34.375105,0.6622222222222222,0.013333333333333334,0.3433333333333333,0.6266666666666667,1.0,0.6266666666666667
70.255458,150,35.891887,0.5805555555555556,0.02666666666666667,0.42377777777777775,0.6933333333333334,1.0,0.6933333333333334
77.533996,150,37.381352,0.6311111111111111,0.02666666666666667,0.3688888888888889,0.6266666666666667,1.0,0.6266666666666667
79.833183,150,38.879655,0.7277777777777777,0.02666666666666667,0.27777777777777773,0.7133333333333334,1.0,0.7133333333333334
82.974851,150,40.377658,0.68,0.013333333333333334,0.32222222222222224,0.72,1.0,0.72
87.815042,150,41.873861,0.735,0.02666666666666667,0.2593333333333333,0.72,1.0,0.72
103.961959,150,43.345843,0.725,0.02,0.28044444444444444,0.8,1.0,0.8
117.1902,150,44.898619,0.6988888888888889,0.013333333333333334,0.30111111111111116,0.7666666666666667,1.0,0.7666666666666667
113.275617,150,46.436327,0.6846666666666666,0.02666666666666667,0.3155555555555556,0.7866666666666666,1.0,0.7866666666666666
109.275888,150,48.014154,0.7516666666666667,0.02666666666666667,0.2604444444444444,0.7733333333333333,1.0,0.7733333333333333
119.349406,150,49.496917,0.6211111111111111,0.02666666666666667,0.3844444444444444,0.7533333333333333,1.0,0.7533333333333333
113.480424,150,51.020353,0.6833333333333333,0.03333333333333333,0.3333333333333333,0.7933333333333333,1.0,0.7933333333333333
178.212644,150,52.516079,0.7555555555555555,0.02666666666666667,0.2522222222222222,0.8733333333333333,1.0,0.8733333333333333
131.100645,150,54.05359,0.6866666666666666,0.0,0.31333333333333335,0.7866666666666666,1.0,0.7866666666666666
135.88195,150,55.552809,0.6922222222222223,0.02,0.3144444444444444,0.8266666666666667,1.0,0.8266666666666667
163.156835,150,57.039224,0.705,0.05333333333333334,0.32266666666666666,0.84,1.0,0.84
135.681144,150,58.572768,0.64,0.006666666666666667,0.36666666666666664,0.8666666666666667,1.0,0.8666666666666667
139.662797,150,60.072917,0.72,0.0,0.28,0.8133333333333334,1.0,0.8133333333333334
148.601697,150,61.575763,0.72,0.0,0.28,0.84,1.0,0.84
165.077979,150,63.066798,0.7133333333333334,0.0,0.2866666666666667,0.8666666666666667,1.0,0.8666666666666667
168.568367,150,64.615013,0.6666666666666666,0.0,0.3333333333333333,0.88,1.0,0.88
188.605476,150,66.168826,0.6805555555555555,0.02666666666666667,0.3237777777777778,0.9,1.0,0.9
180.058611,150,67.691089,0.6983333333333334,0.02,0.3071111111111111,0.9,1.0,0.9
197.414698,150,69.206623,0.7922222222222223,0.02,0.202,0.9,1.0,0.9
187.617087,150,70.732958,0.7883333333333333,0.02,0.21155555555555555,0.9,1.0,0.9
179.473898,150,72.207874,0.82,0.013333333333333334,0.1822222222222222,0.8933333333333333,1.0,0.8933333333333333
179.22804,150,73.668121,0.8433333333333334,0.006666666666666667,0.15777777777777777,0.8333333333333334,1.0,0.8333333333333334
201.146128,150,75.159861,0.7483333333333333,0.006666666666666667,0.24933333333333332,0.9266666666666666,1.0,0.9266666666666666
197.788744,150,76.730088,0.8133333333333334,0.0,0.18666666666666668,0.92,1.0,0.92
216.353693,150,78.241115,0.8688888888888889,0.006666666666666667,0.13,0.9133333333333333,1.0,0.9133333333333333
217.104455,150,79.755694,0.8133333333333334,0.0,0.18666666666666668,0.9666666666666667,1.0,0.9666666666666667
230.125767,150,81.277266,0.8288888888888889,0.006666666666666667,0.17,0.9533333333333334,1.0,0.9533333333333334
230.615321,150,82.766625,0.7661111111111111,0.04666666666666667,0.23377777777777775,0.9333333333333333,1.0,0.9333333333333333
215.256424,150,84.256213,0.8633333333333333,0.006666666666666667,0.13777777777777775,0.9533333333333334,1.0,0.9533333333333334
229.519416,150,85.754565,0.77,0.006666666666666667,0.2311111111111111,0.9466666666666667,1.0,0.9466666666666667
226.464979,150,87.287912,0.7883333333333333,0.04,0.21933333333333332,0.9266666666666666,1.0,0.9266666666666666
237.131218,150,88.81168,0.83,0.006666666666666667,0.1711111111111111,0.9533333333333334,1.0,0.9533333333333334
248.022769,150,90.298496,0.7866666666666666,0.013333333333333334,0.22666666666666666,0.98,1.0,0.98
253.350698,150,91.786625,0.8122222222222222,0.013333333333333334,0.18777777777777777,0.9733333333333334,1.0,0.9733333333333334
254.150119,150,93.302642,0.7222222222222223,0.02,0.27888888888888885,0.9733333333333334,1.0,0.9733333333333334
243.754647,150,94.88852,0.7788888888888889,0.04,0.23666666666666666,0.96,1.0,0.96
257.213319,150,96.392795,0.7955555555555556,0.02,0.20555555555555555,0.98,1.0,0.98
265.797248,150,97.922889,0.7838888888888889,0.04,0.22822222222222222,0.9866666666666667,1.0,0.9866666666666667
260.482114,150,99.41399,0.6972222222222223,0.03333333333333333,0.30822222222222223,0.96,1.0,0.96
276.132474,150,100.991078,0.731111111111111,0.03333333333333333,0.2755555555555555,0.9666666666666667,1.0,0.9666666666666667
267.709222,150,102.454777,0.8016666666666666,0.04666666666666667,0.18911111111111112,0.9666666666666667,1.0,0.9666666666666667
274.489155,150,103.96298,0.7194444444444443,0.04,0.2848888888888889,0.98,1.0,0.98
274.036644,150,105.471432,0.6422222222222222,0.04666666666666667,0.36333333333333334,0.9866666666666667,1.0,0.9866666666666667
270.987917,150,106.955197,0.7313333333333334,0.02666666666666667,0.28,0.98,1.0,0.98
287.053622,150,108.404755,0.6461111111111111,0.08,0.37599999999999995,0.98,1.0,0.98
289.52313,150,109.895514,0.6705555555555556,0.013333333333333334,0.326,0.9866666666666667,1.0,0.9866666666666667
292.344099,150,111.388152,0.7333333333333333,0.05333333333333334,0.27444444444444444,0.9733333333333334,1.0,0.9733333333333334
288.205201,150,112.858571,0.6772222222222223,0.11333333333333333,0.35155555555555557,0.9733333333333334,1.0,0.9733333333333334
287.215415,150,114.348561,0.6344444444444444,0.07333333333333333,0.3722222222222222,0.9733333333333334,1.0,0.9733333333333334
293.597889,150,115.85452,0.6288888888888889,0.05333333333333334,0.382,0.9933333333333333,1.0,0.9933333333333333
290.487176,150,117.355579,0.6427777777777777,0.06666666666666667,0.3826666666666666,0.9866666666666667,1.0,0.9866666666666667
296.542191,150,118.86604,0.7338888888888889,0.08,0.266,0.9933333333333333,1.0,0.9933333333333333
291.326268,150,120.350162,0.6261111111111112,0.13333333333333333,0.41488888888888886,0.9666666666666667,1.0,0.9666666666666667
304.585998,150,121.84956,0.6577777777777777,0.06,0.35333333333333333,1.0,1.0,1.0
299.739132,150,123.323532,0.7394444444444443,0.08666666666666667,0.2782222222222222,1.0,1.0,1.0
306.864791,150,124.796058,0.6511111111111111,0.07333333333333333,0.37333333333333335,1.0,1.0,1.0
328.572122,150,126.321062,0.7344444444444443,0.13333333333333333,0.31,1.0,1.0,1.0
310.311955,150,127.854327,0.6594444444444445,0.06666666666666667,0.3604444444444444,1.0,1.0,1.0
320.181796,150,129.365112,0.6755555555555556,0.10666666666666667,0.3555555555555555,0.9933333333333333,1.0,0.9933333333333333
318.561765,150,130.903229,0.6511111111111112,0.08666666666666667,0.3742222222222222,1.0,1.0,1.0
313.374331,150,132.446131,0.6913333333333334,0.13333333333333333,0.34777777777777774,1.0,1.0,1.0
310.734991,150,134.026971,0.6229999999999999,0.09333333333333334,0.3948888888888889,1.0,1.0,1.0
327.87324,150,135.568131,0.6533333333333333,0.13333333333333333,0.3653333333333333,0.9933333333333333,1.0,0.9933333333333333
309.189124,150,137.119507,0.6166666666666667,0.02,0.3977777777777778,1.0,1.0,1.0
321.799971,150,138.655093,0.6527777777777777,0.06666666666666667,0.3671111111111111,1.0,1.0,1.0
339.990312,150,140.156291,0.6966666666666667,0.12,0.3486666666666666,1.0,1.0,1.0
327.937397,150,141.657719,0.6905555555555556,0.05333333333333334,0.3115555555555556,1.0,1.0,1.0
333.479281,150,143.158339,0.7572222222222222,0.12,0.2771111111111111,0.9866666666666667,1.0,0.9866666666666667
321.025087,150,144.665421,0.6188888888888888,0.013333333333333334,0.3811111111111111,1.0,1.0,1.0
327.617305,150,146.1619,0.7122222222222222,0.15333333333333332,0.3131111111111111,1.0,1.0,1.0
327.088958,150,147.669581,0.7344444444444445,0.07333333333333333,0.31777777777777777,0.9933333333333333,1.0,0.9933333333333333
342.997262,150,149.129769,0.7066666666666667,0.16,0.3497777777777778,1.0,1.0,1.0
344.038843,150,150.631295,0.6227777777777778,0.14666666666666667,0.43822222222222224,0.9933333333333333,1.0,0.9933333333333333
347.38367,150,152.097294,0.6461111111111112,0.16666666666666666,0.38266666666666665,0.9933333333333333,1.0,0.9933333333333333
338.814131,150,153.57694,0.6388888888888888,0.08666666666666667,0.37644444444444447,1.0,1.0,1.0
329.49636,150,155.057856,0.681111111111111,0.04666666666666667,0.32222222222222224,1.0,1.0,1.0
341.644775,150,156.538913,0.6218888888888888,0.09333333333333334,0.3937777777777777,1.0,1.0,1.0
357.448504,150,157.993119,0.7233333333333334,0.11333333333333333,0.3277777777777778,0.9933333333333333,1.0,0.9933333333333333
344.325346,150,159.479424,0.6266666666666667,0.07333333333333333,0.41333333333333333,1.0,1.0,1.0
347.426624,150,161.002358,0.6583333333333333,0.19333333333333333,0.40577777777777774,0.9933333333333333,1.0,0.9933333333333333
359.692927,150,162.514865,0.7333333333333333,0.18666666666666668,0.35111111111111104,0.9933333333333333,1.0,0.9933333333333333
359.406685,150,164.016785,0.7355555555555555,0.12666666666666668,0.292,1.0,1.0,1.0
358.477476,150,165.534049,0.698888888888889,0.12666666666666668,0.33555555555555555,1.0,1.0,1.0
357.623125,150,167.079131,0.7088888888888889,0.12666666666666668,0.34199999999999997,1.0,1.0,1.0
349.712511,150,168.571709,0.7333333333333333,0.1,0.28644444444444445,0.9933333333333333,1.0,0.9933333333333333
367.383159,150,170.099649,0.6616666666666666,0.2,0.4282222222222222,1.0,1.0,1.0
364.435858,150,171.601081,0.6877777777777777,0.18666666666666668,0.3877777777777778,0.9933333333333333,1.0,0.9933333333333333
357.79277,150,173.088185,0.7477777777777778,0.04666666666666667,0.26666666666666666,1.0,1.0,1.0
379.412537,150,174.584824,0.688888888888889,0.18666666666666668,0.38755555555555554,1.0,1.0,1.0
367.347018,150,176.093344,0.7122222222222223,0.1,0.34,0.9933333333333333,1.0,0.9933333333333333
381.104214,150,177.595186,0.7366666666666667,0.18,0.33444444444444443,1.0,1.0,1.0
375.305316,150,179.075875,0.6855555555555556,0.14666666666666667,0.37977777777777777,1.0,1.0,1.0
370.840767,150,180.537963,0.6852222222222222,0.2,0.4204444444444444,1.0,1.0,1.0
374.599636,150,182.008171,0.6855555555555555,0.14666666666666667,0.4255555555555555,1.0,1.0,1.0
374.816994,150,183.495961,0.7238888888888888,0.13333333333333333,0.326,1.0,1.0,1.0
378.220297,150,185.013566,0.6794444444444444,0.20666666666666667,0.4015555555555555,1.0,1.0,1.0
387.002037,150,186.501521,0.6972222222222223,0.22,0.4271111111111111,1.0,1.0,1.0
379.549178,150,188.013297,0.6916666666666667,0.16666666666666666,0.3704444444444444,1.0,1.0,1.0
385.064239,150,189.513904,0.7333333333333333,0.18666666666666668,0.38555555555555554,1.0,1.0,1.0
373.067315,150,191.024052,0.698888888888889,0.14666666666666667,0.3433333333333333,0.9933333333333333,1.0,0.9933333333333333
376.58059,150,192.493564,0.6583333333333333,0.15333333333333332,0.3904444444444444,1.0,1.0,1.0
381.430857,150,193.952356,0.7355555555555555,0.16666666666666666,0.3555555555555555,1.0,1.0,1.0
394.861707,150,195.45204,0.6755555555555556,0.29333333333333333,0.4977777777777778,1.0,1.0,1.0
385.905328,150,196.932242,0.7022222222222223,0.2,0.39888888888888885,1.0,1.0,1.0
384.745071,150,198.386645,0.7822222222222223,0.14666666666666667,0.3011111111111111,1.0,1.0,1.0
386.105977,150,199.83652,0.7144444444444444,0.15333333333333332,0.36111111111111105,1.0,1.0,1.0
387.26114,150,201.303531,0.6888888888888889,0.24,0.43,1.0,1.0,1.0
385.349563,150,202.762069,0.68,0.15333333333333332,0.3944444444444444,1.0,1.0,1.0
396.466505,150,204.210333,0.7366666666666667,0.2733333333333333,0.4053333333333333,1.0,1.0,1.0
385.907533,150,205.686171,0.68,0.19333333333333333,0.40111111111111114,1.0,1.0,1.0
389.896256,150,207.171345,0.7377777777777778,0.2,0.3688888888888889,1.0,1.0,1.0
396.695696,150,208.638604,0.7111111111111111,0.24,0.4244444444444444,1.0,1.0,1.0
398.557929,150,210.10561,0.6872222222222222,0.3,0.5015555555555555,1.0,1.0,1.0
387.780041,150,211.588258,0.7022222222222223,0.22,0.4422222222222222,1.0,1.0,1.0
397.605837,150,213.071884,0.6877777777777777,0.21333333333333335,0.4155555555555555,1.0,1.0,1.0
384.143119,150,214.556675,0.5433333333333333,0.16,0.5097777777777778,1.0,1.0,1.0
387.088476,150,216.026548,0.5644444444444444,0.20666666666666667,0.5353333333333334,1.0,1.0,1.0
391.552665,150,217.477096,0.6968888888888889,0.24666666666666667,0.40888888888888886,1.0,1.0,1.0
388.073374,150,219.017393,0.711111111111111,0.22666666666666666,0.39866666666666667,1.0,1.0,1.0
404.0476,150,220.540186,0.7616666666666667,0.4066666666666667,0.4422222222222223,1.0,1.0,1.0
392.170165,150,222.088245,0.6594444444444444,0.29333333333333333,0.46155555555555544,1.0,1.0,1.0
388.868474,150,223.605839,0.6944444444444444,0.25333333333333335,0.44888888888888895,1.0,1.0,1.0
393.423272,150,225.111035,0.7255555555555555,0.29333333333333333,0.4544444444444444,1.0,1.0,1.0
401.269762,150,226.616748,0.7444444444444445,0.34,0.5022222222222222,1.0,1.0,1.0
385.239916,150,228.144492,0.6638888888888889,0.26,0.47822222222222216,1.0,1.0,1.0
403.755406,150,229.649001,0.6883333333333334,0.38,0.4802222222222222,0.9933333333333333,1.0,0.9933333333333333
413.192817,150,231.171738,0.7516666666666667,0.36,0.42377777777777775,1.0,1.0,1.0
406.599326,150,232.704654,0.75,0.31333333333333335,0.46777777777777774,1.0,1.0,1.0
408.484607,150,234.214529,0.7355555555555555,0.31333333333333335,0.45777777777777773,1.0,1.0,1.0
407.022492,150,235.706938,0.7633333333333333,0.20666666666666667,0.37,1.0,1.0,1.0
400.416623,150,237.209713,0.7344444444444443,0.29333333333333333,0.4155555555555555,1.0,1.0,1.0
409.57739,150,238.740087,0.711111111111111,0.3,0.5066666666666667,1.0,1.0,1.0
415.181535,150,240.263769,0.6711111111111111,0.37333333333333335,0.5533333333333333,1.0,1.0,1.0
391.666091,150,241.755729,0.6194444444444445,0.23333333333333334,0.4426666666666667,1.0,1.0,1.0
391.740755,150,243.265519,0.5633333333333334,0.22666666666666666,0.5322222222222222,1.0,1.0,1.0
417.323866,150,244.797064,0.7738888888888888,0.3933333333333333,0.44933333333333325,1.0,1.0,1.0
408.084699,150,246.282422,0.7327777777777778,0.29333333333333333,0.45822222222222214,1.0,1.0,1.0
405.483553,150,247.781142,0.716111111111111,0.3,0.4537777777777778,1.0,1.0,1.0
421.486589,150,249.278193,0.7816666666666666,0.3933333333333333,0.4315555555555556,0.9933333333333333,1.0,0.9933333333333333
395.752031,150,250.813714,0.64,0.3,0.4553333333333333,1.0,1.0,1.0
409.992674,150,252.332852,0.7466666666666667,0.3333333333333333,0.4744444444444444,1.0,1.0,1.0
419.276549,150,253.860546,0.72,0.3933333333333333,0.5844444444444444,1.0,1.0,1.0
417.997736,150,255.436005,0.7922222222222222,0.26,0.3864444444444445,1.0,1.0,1.0
407.874136,150,256.980938,0.75,0.2866666666666667,0.4533333333333333,1.0,1.0,1.0
420.93087,150,258.516312,0.76,0.35333333333333333,0.5253333333333333,1.0,1.0,1.0
431.011215,150,260.060947,0.8366666666666667,0.3466666666666667,0.4266666666666667,1.0,1.0,1.0
441.42956,150,261.642068,0.8766666666666667,0.38666666666666666,0.49333333333333335,1.0,1.0,1.0
431.480401,150,263.164118,0.8022222222222222,0.43333333333333335,0.5111111111111111,1.0,1.0,1.0
437.124691,150,264.797671,0.8277777777777777,0.48,0.52,1.0,1.0,1.0
418.069836,150,266.420192,0.6772222222222222,0.44666666666666666,0.5268888888888889,1.0,1.0,1.0
412.60836,150,268.01782,0.7355555555555556,0.36666666666666664,0.5111111111111111,1.0,1.0,1.0
403.891079,150,269.604878,0.696111111111111,0.31333333333333335,0.4415555555555555,1.0,1.0,1.0
429.42874,150,271.135932,0.8211111111111111,0.4533333333333333,0.5,1.0,1.0,1.0
428.774241,150,272.69744,0.8111111111111111,0.43333333333333335,0.45,1.0,1.0,1.0
436.276335,150,274.227613,0.8655555555555556,0.38666666666666666,0.4633333333333333,1.0,1.0,1.0
434.367771,150,275.821235,0.8402222222222222,0.4266666666666667,0.4633333333333333,1.0,1.0,1.0
419.695334,150,277.387091,0.81,0.3933333333333333,0.41,1.0,1.0,1.0
406.619125,150,278.924464,0.7355555555555556,0.26,0.4388888888888889,1.0,1.0,1.0
424.388209,150,280.454601,0.7633333333333333,0.32666666666666666,0.46888888888888886,1.0,1.0,1.0
428.213908,150,282.015211,0.7766666666666666,0.4,0.5166666666666667,1.0,1.0,1.0
443.269042,150,283.528322,0.8055555555555555,0.5133333333333333,0.55,1.0,1.0,1.0
425.788194,150,285.032399,0.6922222222222223,0.44666666666666666,0.6411111111111112,1.0,1.0,1.0
431.598137,150,286.525874,0.8677777777777779,0.3933333333333333,0.4155555555555555,1.0,1.0,1.0
424.20129,150,288.03119,0.785,0.41333333333333333,0.4904444444444444,1.0,1.0,1.0
421.110102,150,289.547593,0.8066666666666666,0.35333333333333333,0.48,1.0,1.0,1.0
445.544218,150,290.999555,0.8883333333333333,0.5333333333333333,0.5348888888888889,1.0,1.0,1.0
444.138442,150,292.502327,0.8888888888888887,0.4666666666666667,0.5244444444444444,1.0,1.0,1.0
423.796402,150,293.95799,0.7622222222222222,0.36,0.5011111111111111,1.0,1.0,1.0
402.048098,150,295.501102,0.7566666666666667,0.3,0.40444444444444444,1.0,1.0,1.0
413.458278,150,297.005965,0.7577777777777777,0.32,0.45777777777777773,1.0,1.0,1.0
422.007307,150,298.475813,0.7733333333333333,0.30666666666666664,0.5,1.0,1.0,1.0
429.054844,150,299.947674,0.7755555555555556,0.41333333333333333,0.5188888888888888,1.0,1.0,1.0
435.91417,150,301.452376,0.8566666666666667,0.35333333333333333,0.44666666666666666,1.0,1.0,1.0
435.843578,150,302.958503,0.8105555555555555,0.44,0.5348888888888887,1.0,1.0,1.0
431.243282,150,304.466431,0.755,0.4533333333333333,0.5868888888888889,1.0,1.0,1.0
423.765903,150,305.958061,0.6511111111111112,0.5,0.6655555555555556,1.0,1.0,1.0
430.964859,150,307.478961,0.7738888888888888,0.4533333333333333,0.5337777777777778,1.0,1.0,1.0
437.590789,150,308.994582,0.8072222222222222,0.4533333333333333,0.546,1.0,1.0,1.0
441.905236,150,310.553392,0.8477777777777779,0.49333333333333335,0.5355555555555556,1.0,1.0,1.0
431.026466,150,312.136375,0.7977777777777778,0.4066666666666667,0.5266666666666666,1.0,1.0,1.0
444.451733,150,313.715906,0.8716666666666667,0.5266666666666666,0.5282222222222221,1.0,1.0,1.0
435.696001,150,315.265143,0.8144444444444445,0.49333333333333335,0.5344444444444444,1.0,1.0,1.0
433.996354,150,316.791117,0.8066666666666666,0.46,0.508888888888889,1.0,1.0,1.0
420.204039,150,318.304386,0.7977777777777777,0.34,0.4377777777777777,1.0,1.0,1.0
433.071865,150,319.905828,0.8427777777777777,0.44,0.5004444444444445,1.0,1.0,1.0
445.11266,150,321.462481,0.9266666666666666,0.4866666666666667,0.48111111111111104,1.0,1.0,1.0
417.810281,150,323.031535,0.8144444444444444,0.3333333333333333,0.3977777777777778,1.0,1.0,1.0
443.56778,150,324.578648,0.9122222222222223,0.49333333333333335,0.5011111111111111,1.0,1.0,1.0
450.079941,150,326.080963,0.8922222222222222,0.54,0.59,1.0,1.0,1.0
436.67666,150,327.638012,0.8166666666666667,0.4666666666666667,0.5544444444444444,1.0,1.0,1.0
442.616288,150,329.136468,0.8922222222222221,0.4666666666666667,0.5277777777777777,1.0,1.0,1.0
433.254893,150,330.729152,0.7388888888888889,0.4666666666666667,0.6244444444444444,1.0,1.0,1.0
439.657713,150,332.222115,0.8172222222222223,0.6333333333333333,0.6537777777777778,1.0,1.0,1.0
419.643054,150,333.723819,0.6855555555555556,0.52,0.6988888888888889,1.0,1.0,1.0
432.092396,150,335.191486,0.7357777777777778,0.49333333333333335,0.6020000000000001,1.0,1.0,1.0
428.760675,150,336.678693,0.7466666666666667,0.48,0.5406666666666666,1.0,1.0,1.0
432.639359,150,338.150726,0.8022222222222223,0.46,0.56,1.0,1.0,1.0
455.521613,150,339.631122,0.88,0.58,0.6444444444444444,1.0,1.0,1.0
443.973171,150,341.088751,0.8222222222222222,0.5466666666666666,0.6266666666666667,1.0,1.0,1.0
445.790667,150,342.543918,0.8316666666666667,0.56,0.556,1.0,1.0,1.0
451.753627,150,344.007641,0.86,0.6533333333333333,0.658888888888889,1.0,1.0,1.0
430.455169,150,345.49472,0.7316666666666667,0.6666666666666666,0.6824444444444445,1.0,1.0,1.0
435.664417,150,346.947366,0.8088888888888889,0.5,0.5822222222222222,1.0,1.0,1.0
431.098839,150,348.415053,0.78,0.42,0.5833333333333334,1.0,1.0,1.0
450.015395,150,349.861791,0.8944444444444444,0.5933333333333334,0.5777777777777778,1.0,1.0,1.0
432.857843,150,351.312253,0.7861111111111111,0.5466666666666666,0.6126666666666665,1.0,1.0,1.0
452.730459,150,352.776852,0.8822222222222221,0.66,0.6466666666666666,1.0,1.0,1.0
440.653299,150,354.229885,0.8144444444444445,0.5533333333333333,0.6288888888888888,1.0,1.0,1.0
430.964983,150,355.705958,0.851111111111111,0.42,0.4977777777777777,1.0,1.0,1.0
454.446812,150,357.168477,0.908888888888889,0.5133333333333333,0.5744444444444444,1.0,1.0,1.0
457.934162,150,358.64396,0.8902222222222222,0.64,0.6544444444444444,1.0,1.0,1.0
447.913637,150,360.115881,0.7866666666666666,0.5933333333333334,0.7055555555555555,1.0,1.0,1.0
445.050886,150,361.593256,0.7911111111111111,0.5733333333333334,0.611111111111111,1.0,1.0,1.0
457.650058,150,363.055355,0.8666666666666667,0.6466666666666666,0.6566666666666666,1.0,1.0,1.0
447.158521,150,364.533794,0.8394444444444443,0.5466666666666666,0.5815555555555556,1.0,1.0,1.0
460.60731,150,366.001434,0.86,0.6933333333333334,0.6988888888888889,1.0,1.0,1.0
456.138141,150,367.459543,0.8611111111111113,0.66,0.6888888888888889,1.0,1.0,1.0
454.660339,150,368.917497,0.8655555555555556,0.58,0.6222222222222222,1.0,1.0,1.0
459.549432,150,370.358045,0.8838888888888887,0.6866666666666666,0.686,0.9933333333333333,1.0,0.9933333333333333
455.662105,150,371.814413,0.8711111111111113,0.64,0.6644444444444444,1.0,1.0,1.0
457.161761,150,373.269987,0.8666666666666667,0.7133333333333334,0.7122222222222223,1.0,1.0,1.0
452.245709,150,374.707076,0.821111111111111,0.6066666666666667,0.6755555555555556,1.0,1.0,1.0
443.395571,150,376.178844,0.7655555555555555,0.5866666666666667,0.7066666666666667,1.0,1.0,1.0
460.554169,150,377.652554,0.8733333333333333,0.6533333333333333,0.7133333333333334,1.0,1.0,1.0
435.3395,150,379.101648,0.7644444444444444,0.5066666666666667,0.6155555555555555,1.0,1.0,1.0
447.24743,150,380.556385,0.8588888888888889,0.5333333333333333,0.5833333333333333,1.0,1.0,1.0
449.229875,150,382.006316,0.9022222222222221,0.58,0.58,1.0,1.0,1.0
452.477806,150,383.48103,0.8822222222222221,0.5866666666666667,0.63,1.0,1.0,1.0
443.661591,150,384.942116,0.84,0.5066666666666667,0.6222222222222222,1.0,1.0,1.0
446.256439,150,386.404437,0.87,0.54,0.6088888888888889,1.0,1.0,1.0
448.770043,150,387.884016,0.84,0.5733333333333334,0.6555555555555554,1.0,1.0,1.0
